incident_id,pathogen_name,detection_date,region,location_lat,location_lon,case_count,source_type,ndvi_mean,tree_cover_pct,risk_score
INC-00000,Rift Valley Fever,2021-01-01 00:00:00.000000000,Nairobi,-1.0496833115177797,36.37928610654016,9,lab,0.41,25.5,0.683
INC-00001,Leptospirosis,2021-01-03 22:13:13.587174348,Lamu,-1.8830371132762922,40.86032204153651,13,lab,0.642,59.4,0.137
INC-00002,Avian Influenza H5N1,2021-01-06 20:26:27.174348697,Dar es Salaam,-6.371296802704808,38.837358057182044,1,lab,0.199,42.4,0.436
INC-00003,Avian Influenza H5N1,2021-01-09 18:39:40.761523046,Kampala,0.3512289251830992,32.234846710157576,5,lab,0.447,21.6,0.892
INC-00004,Crimean-Congo HF,2021-01-12 16:52:54.348697394,Kampala,0.3678711147405691,32.71480281303021,8,environmental,0.553,22.3,0.036
INC-00005,Mpox,2021-01-15 15:06:07.935871743,Garissa,-0.15334958923616354,39.53902639157023,8,environmental,0.322,25.8,0.457
INC-00006,Mpox,2021-01-18 13:19:21.523046092,Nairobi,-1.4719383082557989,37.23907545015499,12,environmental,0.621,2.2,0.661
INC-00007,Crimean-Congo HF,2021-01-21 11:32:35.110220440,Dar es Salaam,-6.454971637654931,39.027484494608075,0,lab,0.324,31.7,0.888
INC-00008,Crimean-Congo HF,2021-01-24 09:45:48.697394789,Mombasa,-4.049335353482577,39.8943861283839,12,lab,0.204,48.7,0.594
INC-00009,Crimean-Congo HF,2021-01-27 07:59:02.284569138,Nairobi,-1.6705322756647316,36.77832243015491,1,environmental,0.45,39.6,0.824
INC-00010,Avian Influenza H5N1,2021-01-30 06:12:15.871743487,Kampala,-0.08034485292705629,32.74247130112928,1,lab,0.352,11.9,0.223
INC-00011,Leptospirosis,2021-02-02 04:25:29.458917835,Garissa,-0.1112267889605369,39.74579435671599,6,community,0.109,43.7,0.353
INC-00012,Avian Influenza H5N1,2021-02-05 02:38:43.046092184,Lamu,-2.713872083093122,40.874843972758995,12,lab,0.142,43.2,0.942
INC-00013,Avian Influenza H5N1,2021-02-08 00:51:56.633266533,Lamu,-2.488828563866344,41.35212109462444,4,environmental,0.217,15.8,0.886
INC-00014,Avian Influenza H5N1,2021-02-10 23:05:10.220440881,Lamu,-2.435309959498454,40.74477364275496,11,community,0.562,37.4,0.558
INC-00015,Rift Valley Fever,2021-02-13 21:18:23.807615230,Lamu,-2.596445554808406,40.57929550124927,3,environmental,0.635,36.7,0.475
INC-00016,Avian Influenza H5N1,2021-02-16 19:31:37.394789579,Kampala,0.16148936980198925,32.76061406087983,0,environmental,0.427,50.4,0.451
INC-00017,Rift Valley Fever,2021-02-19 17:44:50.981963927,Nairobi,-1.0436964332749143,37.163230561307905,4,environmental,0.163,8.2,0.059
INC-00018,Mpox,2021-02-22 15:58:04.569138276,Lamu,-2.754757156439929,40.44231373993992,6,lab,0.421,11.7,0.892
INC-00019,Mpox,2021-02-25 14:11:18.156312625,Kampala,0.6747694245206864,32.532152688422684,6,environmental,0.613,29.2,0.818
INC-00020,Crimean-Congo HF,2021-02-28 12:24:31.743486974,Kampala,0.7041440235745582,32.97500768968733,8,community,0.55,2.6,0.456
INC-00021,Rift Valley Fever,2021-03-03 10:37:45.330661322,Kisumu,-0.21944042680845183,35.017574618922865,0,community,0.275,24.9,0.279
INC-00022,Rift Valley Fever,2021-03-06 08:50:58.917835671,Mombasa,-4.3898641009393655,40.16001371649762,10,lab,0.174,47.3,0.343
INC-00023,Avian Influenza H5N1,2021-03-09 07:04:12.505010020,Garissa,-0.35237959205491914,39.677512811597246,10,lab,0.64,8.9,0.123
INC-00024,Crimean-Congo HF,2021-03-12 05:17:26.092184368,Lamu,-2.6497674441351053,41.06205571880115,9,community,0.612,27.6,0.722
INC-00025,Crimean-Congo HF,2021-03-15 03:30:39.679358717,Dar es Salaam,-6.927434638921747,39.010808281137926,4,environmental,0.132,59.4,0.557
INC-00026,Avian Influenza H5N1,2021-03-18 01:43:53.266533066,Kisumu,0.3667271809009724,35.21549159966599,11,lab,0.594,30.4,0.234
